table,input_rows,after_jeju_travel_filter,output_rows,exact_duplicates_removed,removed_non_jeju_location,removed_personal_place
traveller,2880,1681.0,1681,0,0.0,0.0
travel,2880,1681.0,1681,0,0.0,0.0
visit,51596,37311.0,31401,0,4870.0,1040.0
companion,4427,2367.0,2367,0,0.0,0.0
activity,60957,44243.0,41369,0,0.0,0.0
activity_consume,30126,22061.0,21329,0,0.0,0.0
lodge_consume,3520,2575.0,2575,0,0.0,0.0
movement_consume,9351,6686.0,6686,0,0.0,0.0
advance_consume,667,391.0,391,0,0.0,0.0
move,51596,37311.0,31401,0,0.0,0.0
code_a,30,0.0,30,0,0.0,0.0
code_b,238,0.0,238,0,0.0,0.0
sgg_code,8075,0.0,173,0,0.0,0.0
